col1,col2
fu:1293aabc7d9be29c2a493d302247e58520146c546c1956cda254be8480c527de,RPS6KA6
fu:1293aabc7d9be29c2a493d302247e58520146c546c1956cda254be8480c527de,RPS6KA1
fu:1293aabc7d9be29c2a493d302247e58520146c546c1956cda254be8480c527de,RPS6KA2
fu:1293aabc7d9be29c2a493d302247e58520146c546c1956cda254be8480c527de,RPS6KA3
fu:84692161c0557d0f75da23e1f5a34e6ef09ce8d0dfa0a79ba2fb35501b68c6aa,MKNK2
fu:84692161c0557d0f75da23e1f5a34e6ef09ce8d0dfa0a79ba2fb35501b68c6aa,MKNK1
fu:5670ba6c97f929ace90df9c33a929c195cffe83dc50fe4304d743795dfd92dbb,EFNA4-EFNA3
fu:5670ba6c97f929ace90df9c33a929c195cffe83dc50fe4304d743795dfd92dbb,CSF1
fu:5670ba6c97f929ace90df9c33a929c195cffe83dc50fe4304d743795dfd92dbb,EFNA1
fu:5670ba6c97f929ace90df9c33a929c195cffe83dc50fe4304d743795dfd92dbb,EFNA2
fu:5670ba6c97f929ace90df9c33a929c195cffe83dc50fe4304d743795dfd92dbb,EFNA3
fu:5670ba6c97f929ace90df9c33a929c195cffe83dc50fe4304d743795dfd92dbb,EFNA4
fu:5670ba6c97f929ace90df9c33a929c195cffe83dc50fe4304d743795dfd92dbb,EFNA5
fu:5670ba6c97f929ace90df9c33a929c195cffe83dc50fe4304d743795dfd92dbb,EGF
fu:5670ba6c97f929ace90df9c33a929c195cffe83dc50fe4304d743795dfd92dbb,EREG
fu:5670ba6c97f929ace90df9c33a929c195cffe83dc50fe4304d743795dfd92dbb,FGF1
fu:5670ba6c97f929ace90df9c33a929c195cffe83dc50fe4304d743795dfd92dbb,FGF2
fu:5670ba6c97f929ace90df9c33a929c195cffe83dc50fe4304d743795dfd92dbb,FGF3
fu:5670ba6c97f929ace90df9c33a929c195cffe83dc50fe4304d743795dfd92dbb,FGF4
fu:5670ba6c97f929ace90df9c33a929c195cffe83dc50fe4304d743795dfd92dbb,FGF5
fu:5670ba6c97f929ace90df9c33a929c195cffe83dc50fe4304d743795dfd92dbb,FGF6
