Entrez ID,Gene Symbol,LogFC,p-value,Oncogene Score
81555,YIPF5,2.8781,4.06928e-10,0.0036958
79718,TBL1XR1,2.93586,2.17503e-05,0.579481
58528,RRAGD,-2.34724,1.49179e-07,0.0231753
11160,ERLIN2,2.35716,4.12237e-05,0.101729
6646,SOAT1,2.69666,4.54756e-05,0.0944424
50848,F11R,2.44784,3.53155e-07,0.114964
1290,COL5A2,3.66041,1.49297e-07,0.0678805
54431,DNAJC10,2.87094,5.93234e-06,0.0412102
5317,PKP1,-2.95592,3.3006e-08,0.030075
1296,COL8A2,3.16874,2.52835e-05,0.0151989
90362,FAM110B,2.62255,0.000507475,0.0057404
29956,CERS2,2.63289,5.73219e-06,0.0667939
55248,TMEM206,2.75852,0.000175316,
252839,TMEM9,2.44702,7.01398e-07,0.0239843
58505,OSTC,2.59743,2.18004e-11,0.0164472
23731,TMEM245,3.34693,5.07772e-08,0.014044
