Gene Symbol Origin,Gene Symbol Target,Correlation,p-value,FDR
CLCC1,SAR1B,0.684,4.25769e-05,0.0041402
F11R,GPR160,0.684,4.25769e-05,0.0041402
ITGA7,VWF,0.684,4.25769e-05,0.0041402
ARFIP1,STIP1,0.684,4.25769e-05,0.0041402
KCTD14,PADI2,0.684,4.25769e-05,0.0041402
GABRP,GPM6B,0.684,4.25769e-05,0.0041402
GNAI3,SAE1,0.684,4.25769e-05,0.0041402
RAB14,RAB1A,0.684,4.25769e-05,0.0041402
FAR1,SCOC,0.684,4.25769e-05,0.0041402
DCTD,LAPTM4B,0.684,4.25769e-05,0.0041402
COMP,TIMP3,0.684,4.25769e-05,0.0041402
RHOA,SCOC,0.684,4.25769e-05,0.0041402
CDH11,COL6A1,0.684,4.25769e-05,0.0041402
LRRC15,MFAP2,0.684,4.25769e-05,0.0041402
DDX42,UBE2N,0.684,4.33383e-05,0.00419559
RAB14,TMX1,0.684,4.33383e-05,0.00419559
FUS,HNRNPF,0.684,4.33383e-05,0.00419559
MATR3,SEPT2,0.684,4.33383e-05,0.00419559
CTB-50L17.7,TMEM230,0.684,4.33383e-05,0.00419559
ARPC5,BRCC3,0.684,4.33383e-05,0.00419559
ROPN1,ROPN1B,0.684,4.33383e-05,0.00419559
EDNRB,SOD3,0.684,4.33383e-05,0.00419559
CDC42EP5,IGFBP6,0.684,4.33383e-05,0.00419559
BAG2,NID2,0.684,4.33383e-05,0.00419559
FABP4,TNXA,0.683,4.41119e-05,0.00424792
CLIC5,FZD4,0.683,4.41119e-05,0.00424792
GPR146,TMEM100,0.683,4.41119e-05,0.00424792
ARF4,EZR,0.683,4.41119e-05,0.00424792
INHBA,PPAPDC1A,0.683,4.41119e-05,0.00424792
SERPINH1,WNT5A,0.683,4.41119e-05,0.00424792
DCTD,MAPRE1,0.683,4.41119e-05,0.00424792
BRCC3,RHOA,0.683,4.41119e-05,0.00424792
AKR1C2,GPX3,0.683,4.41119e-05,0.00424792
C1QTNF3,COL10A1,0.683,4.41119e-05,0.00424792
COL5A1,GXYLT2,0.683,4.41119e-05,0.00424792
C1QTNF6,COL3A1,0.683,4.41119e-05,0.00424792
ANGPT1,FOLR1,0.683,4.43692e-05,0.00427083
RERGL,YIF1B,-0.683,4.48977e-05,0.00429524
KIT,PROM1,0.683,4.48977e-05,0.00429524
BGN,CDC42EP5,0.683,4.48977e-05,0.00429524
ATP6V1A,HSP90AB1,0.683,4.48977e-05,0.00429524
ADIPOQ,LEP,0.683,4.48977e-05,0.00429524
CD46,UEVLD,0.683,4.48977e-05,0.00429524
DSG2,UEVLD,0.683,4.48977e-05,0.00429524
DSG2,PIK3C2A,0.683,4.48977e-05,0.00429524
DST,NDRG2,0.683,4.48977e-05,0.00429524
RIOK3,TTPAL,0.683,4.48977e-05,0.00429524
LAPTM4B,SLC30A5,0.683,4.48977e-05,0.00429524
C1orf56,DICER1,0.683,4.48977e-05,0.00429524
B3GNT2,PLAUR,0.683,4.48977e-05,0.00429524
PPP1R11,UEVLD,0.683,4.48977e-05,0.00429524
BAG2,LARP6,0.682,4.5696e-05,0.00433559
AOC3,SEMA3G,0.682,4.5696e-05,0.00433559
CSNK1A1,FAR1,0.682,4.5696e-05,0.00433559
BZW1,RAB5A,0.682,4.5696e-05,0.00433559
CKAP5,SAE1,0.682,4.5696e-05,0.00433559
CLIC4,TAB2,0.682,4.5696e-05,0.00433559
CTB-50L17.7,GDE1,0.682,4.5696e-05,0.00433559
GDE1,OCIAD1,0.682,4.5696e-05,0.00433559
FBN1,OSTC,0.682,4.5696e-05,0.00433559
DICER1,FRYL,0.682,4.5696e-05,0.00433559
CCT2,MAPRE1,0.682,4.5696e-05,0.00433559
CDC5L,RHOA,0.682,4.5696e-05,0.00433559
ARPC5,SEPT2,0.682,4.5696e-05,0.00433559
CTB-50L17.7,PSMD10,0.682,4.5696e-05,0.00433559
C16orf72,RHOB,0.682,4.5696e-05,0.00433559
PPP1R11,SP1,0.682,4.5696e-05,0.00433559
EBF1,PID1,0.682,4.5696e-05,0.00433559
CCL14,SEMA3G,0.682,4.5696e-05,0.00433559
ADAM12,COMP,0.682,4.5696e-05,0.00433559
GPR160,LRRN4CL,-0.682,4.6507e-05,0.00437836
CFB,DUSP5,-0.682,4.6507e-05,0.00437836
FIGF,FZD4,0.682,4.6507e-05,0.00437836
CSNK1A1,PIK3C2A,0.682,4.6507e-05,0.00437836
LMOD1,NR3C2,0.682,4.6507e-05,0.00437836
EGFL7,VWF,0.682,4.6507e-05,0.00437836
ANKRD35,APPL2,0.682,4.6507e-05,0.00437836
EDEM3,PIK3C2A,0.682,4.6507e-05,0.00437836
DCTN4,MATR3,0.682,4.6507e-05,0.00437836
FAT2,SOSTDC1,0.682,4.6507e-05,0.00437836
RAB5A,TMX1,0.682,4.6507e-05,0.00437836
B3GNT2,RHOA,0.682,4.6507e-05,0.00437836
SERPINH1,STK38,0.682,4.6507e-05,0.00437836
OSTC,YWHAH,0.682,4.6507e-05,0.00437836
TPD52,UEVLD,0.682,4.6507e-05,0.00437836
CDC5L,SP1,0.682,4.6507e-05,0.00437836
KRT15,MID1,0.682,4.6507e-05,0.00437836
C12orf75,CTHRC1,0.682,4.6507e-05,0.00437836
C1S,TMEFF2,-0.681,4.73308e-05,0.00443303
GLUD2,NOLC1,0.681,4.73308e-05,0.00443303
ARHGEF28,SCGB3A1,0.681,4.73308e-05,0.00443303
KIT,SFRP1,0.681,4.73308e-05,0.00443303
ITIH5,MEOX1,0.681,4.73308e-05,0.00443303
CDH11,INHBA,0.681,4.73308e-05,0.00443303
DICER1,LOC100190986,0.681,4.73308e-05,0.00443303
CCT2,PRPF31,0.681,4.73308e-05,0.00443303
EIF4E,MRPL42,0.681,4.73308e-05,0.00443303
MAPRE1,OCIAD1,0.681,4.73308e-05,0.00443303
RHOB,TMEM230,0.681,4.73308e-05,0.00443303
SAMD5,SOX10,0.681,4.73308e-05,0.00443303
ADAMTS5,DNM3OS,0.681,4.81676e-05,0.00448071
KIT,MIA,0.681,4.81676e-05,0.00448071
ATP6V1A,IGF1R,0.681,4.81676e-05,0.00448071
EIF4A2,NOLC1,0.681,4.81676e-05,0.00448071
ATP6V1A,UBE2N,0.681,4.81676e-05,0.00448071
ATP6V1A,ETNK1,0.681,4.81676e-05,0.00448071
C16orf72,TMX1,0.681,4.81676e-05,0.00448071
GNAI3,TSN,0.681,4.81676e-05,0.00448071
SEPT2,TAB2,0.681,4.81676e-05,0.00448071
CREB1,RIOK3,0.681,4.81676e-05,0.00448071
RHOA,SAE1,0.681,4.81676e-05,0.00448071
CLDN5,SFRP1,0.681,4.81676e-05,0.00448071
RP3-428L16.2,SFRP2,0.681,4.81676e-05,0.00448071
FKBP14,RUNX2,0.681,4.81676e-05,0.00448071
BAG2,COL8A2,0.681,4.81676e-05,0.00448071
COMP,SPOCK1,0.681,4.81676e-05,0.00448071
DDA1,DDX42,0.68,4.90175e-05,0.00453663
C16orf13,RRM1,0.68,4.90175e-05,0.00453663
DSG2,RIOK3,0.68,4.90175e-05,0.00453663
NES,TNXA,0.68,4.90175e-05,0.00453663
GLUL,HSP90AB1,0.68,4.90175e-05,0.00453663
DCTN4,LYPLA1,0.68,4.90175e-05,0.00453663
RHOA,RHOB,0.68,4.90175e-05,0.00453663
PIK3C2A,UBE2N,0.68,4.90175e-05,0.00453663
ACVR1C,LGALS12,0.68,4.90175e-05,0.00453663
PEAR1,SEMA3G,0.68,4.90175e-05,0.00453663
TMEM50B,ZNF43,0.68,4.90175e-05,0.00453663
ADAM12,C12orf75,0.68,4.90175e-05,0.00453663
ADH1C,EBF1,0.68,4.98809e-05,0.00458165
DICER1,GPR160,0.68,4.98809e-05,0.00458165
ITGA7,PEAR1,0.68,4.98809e-05,0.00458165
MIR143HG,PTX3,0.68,4.98809e-05,0.00458165
GNAI3,WAPAL,0.68,4.98809e-05,0.00458165
GDE1,RAB5A,0.68,4.98809e-05,0.00458165
DCTN4,FAR1,0.68,4.98809e-05,0.00458165
CTHRC1,TIMP3,0.68,4.98809e-05,0.00458165
COL5A1,OSTC,0.68,4.98809e-05,0.00458165
HSP90AB1,PPP1R11,0.68,4.98809e-05,0.00458165
IRX1,KIT,0.68,4.98809e-05,0.00458165
PGM5,RGMA,0.68,4.98809e-05,0.00458165
EIF4A2,GLUD2,0.68,4.98809e-05,0.00458165
C1QTNF6,PPAPDC1A,0.68,4.98809e-05,0.00458165
GJB2,RUNX1-IT1,0.68,4.98809e-05,0.00458165
FKBP14,FNDC1,0.68,4.98809e-05,0.00458165
COL6A1,OLFML2B,0.68,4.98809e-05,0.00458165
COL6A1,NID2,0.68,4.98809e-05,0.00458165
KCTD5,NPR1,-0.679,5.07577e-05,0.00463301
SAA1,TNXA,0.679,5.07577e-05,0.00463301
FBN1,LARP6,0.679,5.07577e-05,0.00463301
AOC3,MEOX1,0.679,5.07577e-05,0.00463301
DDX42,M6PR,0.679,5.07577e-05,0.00463301
BZW1,SELT,0.679,5.07577e-05,0.00463301
LMOD1,MIR143HG,0.679,5.07577e-05,0.00463301
GFPT1,MAPRE1,0.679,5.07577e-05,0.00463301
MEOX1,SAMD5,0.679,5.07577e-05,0.00463301
GLUD2,TMEM245,0.679,5.07577e-05,0.00463301
HSP90AB1,UBE2N,0.679,5.07577e-05,0.00463301
CCT2,SEPT2,0.679,5.07577e-05,0.00463301
GDI2,ZNF146,0.679,5.07577e-05,0.00463301
GABRP,KIT,0.679,5.07577e-05,0.00463301
CCNB1,KIAA0101,0.679,5.07577e-05,0.00463301
CFL1,KANK3,-0.679,5.16483e-05,0.00468499
BZW1,SLC30A5,0.679,5.16483e-05,0.00468499
C16orf13,STIP1,0.679,5.16483e-05,0.00468499
C2orf40,CHRDL1,0.679,5.16483e-05,0.00468499
NOLC1,SEPT2,0.679,5.16483e-05,0.00468499
FOXC1,MEOX1,0.679,5.16483e-05,0.00468499
BRCC3,FAR1,0.679,5.16483e-05,0.00468499
COL5A1,INHBA,0.679,5.16483e-05,0.00468499
ALOX5AP,ANKH,0.679,5.16483e-05,0.00468499
CTNNA1,RAB5A,0.679,5.16483e-05,0.00468499
SP1,TSN,0.679,5.16483e-05,0.00468499
GPM6B,PAMR1,0.679,5.16483e-05,0.00468499
COL5A2,MFAP2,0.679,5.16483e-05,0.00468499
ADAM12,KDELR3,0.679,5.16483e-05,0.00468499
FN1,FNDC1,0.679,5.16483e-05,0.00468499
RAPGEF3,SAE1,-0.678,5.25528e-05,0.00473172
CD9,MEOX1,-0.678,5.25528e-05,0.00473172
GPR160,MFGE8,-0.678,5.25528e-05,0.00473172
CILP,COL5A2,0.678,5.25528e-05,0.00473172
SFRP1,SYNM,0.678,5.25528e-05,0.00473172
AGTRAP,LSM4,0.678,5.25528e-05,0.00473172
GPR146,ITIH5,0.678,5.25528e-05,0.00473172
LRRN4CL,MID1,0.678,5.25528e-05,0.00473172
BTNL9,ENPP2,0.678,5.25528e-05,0.00473172
EZR,RAB1A,0.678,5.25528e-05,0.00473172
ARFIP1,LAPTM4B,0.678,5.25528e-05,0.00473172
CYB5R3,STK38,0.678,5.25528e-05,0.00473172
GOLGA7,SRSF3,0.678,5.25528e-05,0.00473172
GOLGA7,RHOA,0.678,5.25528e-05,0.00473172
FNIP1,TMX1,0.678,5.25528e-05,0.00473172
COL8A2,TNFRSF19,0.678,5.25528e-05,0.00473172
GXYLT2,SPOCK1,0.678,5.25528e-05,0.00473172
CALU,FNDC1,0.678,5.25528e-05,0.00473172
C16orf72,RAPGEF3,-0.678,5.34714e-05,0.00479077
APPL2,TF,0.678,5.34714e-05,0.00479077
ATP6V1A,MATR3,0.678,5.34714e-05,0.00479077
CCDC3,MFGE8,0.678,5.34714e-05,0.00479077
CDKN2C,KRT15,0.678,5.34714e-05,0.00479077
CD46,IGF1R,0.678,5.34714e-05,0.00479077
FKBP14,NREP,0.678,5.34714e-05,0.00479077
C1S,STK38,0.678,5.34714e-05,0.00479077
COMMD10,SRSF3,0.678,5.34714e-05,0.00479077
COMMD10,RIOK3,0.678,5.34714e-05,0.00479077
CCT2,OAZ2,0.678,5.34714e-05,0.00479077
MFAP2,SPOCK1,0.678,5.34714e-05,0.00479077
ACSS2,DNM3OS,-0.677,5.44043e-05,0.00483869
F11R,PBX1,0.677,5.44043e-05,0.00483869
IRX1,PROM1,0.677,5.44043e-05,0.00483869
AL833181,LINC00086,0.677,5.44043e-05,0.00483869
GNAL,IRX1,0.677,5.44043e-05,0.00483869
ITIH5,SCN4B,0.677,5.44043e-05,0.00483869
DICER1,FNIP1,0.677,5.44043e-05,0.00483869
EDNRB,FAT2,0.677,5.44043e-05,0.00483869
FAM13A-AS1,PAMR1,0.677,5.44043e-05,0.00483869
FAT2,TNXA,0.677,5.44043e-05,0.00483869
NIPBL,TMX1,0.677,5.44043e-05,0.00483869
RAB14,TMEM245,0.677,5.44043e-05,0.00483869
MAPK13,TMEM9,0.677,5.44043e-05,0.00483869
GDI2,RRM1,0.677,5.44043e-05,0.00483869
SEPT2,TMEM245,0.677,5.44043e-05,0.00483869
LIPE,PLIN4,0.677,5.44043e-05,0.00483869
ID4,MID1,0.677,5.44043e-05,0.00483869
CALU,CTGF,0.677,5.44043e-05,0.00483869
DDA1,SAR1B,0.677,5.53517e-05,0.00489312
CRYAB,KLHL29,0.677,5.53517e-05,0.00489312
CDKN2C,SAA1,0.677,5.53517e-05,0.00489312
AGPAT9,RSPO3,0.677,5.53517e-05,0.00489312
EPT1,TMEM50B,0.677,5.53517e-05,0.00489312
ESRP1,TPD52,0.677,5.53517e-05,0.00489312
GLUD2,TSN,0.677,5.53517e-05,0.00489312
GNAI3,RAB1A,0.677,5.53517e-05,0.00489312
FAP,TIMP3,0.677,5.53517e-05,0.00489312
CLIC4,TIMP3,0.677,5.53517e-05,0.00489312
CAPRIN1,CCT2,0.677,5.53517e-05,0.00489312
ADAMTS9-AS2,RGMA,0.677,5.53517e-05,0.00489312
DNAJC3,ZNF43,0.677,5.53517e-05,0.00489312
FKBP14,MFAP2,0.677,5.53517e-05,0.00489312
LOXL1,POSTN,0.677,5.53517e-05,0.00489312
LINC00408,NCALD,-0.676,5.61501e-05,0.00494222
FCRL2,RHOA,-0.676,5.63138e-05,0.00494222
C12orf75,FBP1,-0.676,5.63138e-05,0.00494222
CAPN3,ESRP1,-0.676,5.63138e-05,0.00494222
PEAR1,RASIP1,0.676,5.63138e-05,0.00494222
BZW1,HSP90AB1,0.676,5.63138e-05,0.00494222
ADAMTS9,LARP6,0.676,5.63138e-05,0.00494222
CAPN3,PEAR1,0.676,5.63138e-05,0.00494222
STIP1,UEVLD,0.676,5.63138e-05,0.00494222
EZR,SP1,0.676,5.63138e-05,0.00494222
OCIAD1,SYPL1,0.676,5.63138e-05,0.00494222
ARFIP1,SETD5,0.676,5.63138e-05,0.00494222
ARFIP1,SLC30A5,0.676,5.63138e-05,0.00494222
SYPL1,ZNF146,0.676,5.63138e-05,0.00494222
RAD1,UEVLD,0.676,5.63138e-05,0.00494222
CCDC3,PID1,0.676,5.63138e-05,0.00494222
PTPRZ1,TNPO1,0.676,5.63138e-05,0.00494222
CTHRC1,FNDC1,0.676,5.63138e-05,0.00494222
DEFB1,OXTR,0.676,5.71246e-05,0.00501137
CCDC3,ITGA7,0.676,5.72908e-05,0.00501389
GNB1,TSN,0.676,5.72908e-05,0.00501389
EIF4A2,TMX1,0.676,5.72908e-05,0.00501389
MPDU1,RABEP1,0.676,5.72908e-05,0.00501389
CKAP5,UBE2M,0.676,5.72908e-05,0.00501389
ABCA8,ADAMTS5,0.676,5.72908e-05,0.00501389
ATP6V1A,MAPRE1,0.675,5.82829e-05,0.0050723
AGPAT9,LRRN4CL,0.675,5.82829e-05,0.0050723
EIF4A2,NIPBL,0.675,5.82829e-05,0.0050723
FRYL,SEPT2,0.675,5.82829e-05,0.0050723
CYB5R3,DCTD,0.675,5.82829e-05,0.0050723
EZR,MRPL42,0.675,5.82829e-05,0.0050723
CCT2,EZR,0.675,5.82829e-05,0.0050723
EZR,GOLGA7,0.675,5.82829e-05,0.0050723
PIGR,SOSTDC1,0.675,5.82829e-05,0.0050723
BBOX1,LARP6,0.675,5.82829e-05,0.0050723
CHRDL1,LOC100506558,0.675,5.82829e-05,0.0050723
FOXA1,ZNF43,0.675,5.82829e-05,0.0050723
C1QTNF3,CDH11,0.675,5.82829e-05,0.0050723
CALU,FKBP14,0.675,5.82829e-05,0.0050723
GPIHBP1,UBE2N,-0.675,5.92902e-05,0.00512531
GPR146,SEPT2,-0.675,5.92902e-05,0.00512531
GFPT1,PRPF31,0.675,5.92902e-05,0.00512531
FAT2,SCN4B,0.675,5.92902e-05,0.00512531
LSM4,OCIAD1,0.675,5.92902e-05,0.00512531
LAMP1,YWHAZ,0.675,5.92902e-05,0.00512531
BRCC3,EIF4A2,0.675,5.92902e-05,0.00512531
ASCC1,TSN,0.675,5.92902e-05,0.00512531
EZR,GDI2,0.675,5.92902e-05,0.00512531
JAK1,SPOCK1,0.675,5.92902e-05,0.00512531
SYPL1,TMEM230,0.675,5.92902e-05,0.00512531
CFL1,EIF4E,0.675,5.92902e-05,0.00512531
LAMP1,UEVLD,0.675,5.92902e-05,0.00512531
ABCA8,PID1,0.675,5.92902e-05,0.00512531
HIP1,UBE2H,0.675,5.92902e-05,0.00512531
BAG2,RUNX2,0.675,5.92902e-05,0.00512531
C12orf75,MFAP2,0.675,5.92902e-05,0.00512531
RIOK3,TNXA,-0.674,6.0313e-05,0.00517895
ADH1C,CHRDL1,0.674,6.0313e-05,0.00517895
PPP1R14A,SAA1,0.674,6.0313e-05,0.00517895
EGFL7,NES,0.674,6.0313e-05,0.00517895
ANKRD35,LARP6,0.674,6.0313e-05,0.00517895
EDEM3,F11R,0.674,6.0313e-05,0.00517895
KLHL29,MIR143HG,0.674,6.0313e-05,0.00517895
LRIF1,SELT,0.674,6.0313e-05,0.00517895
MIR143HG,TRIM29,0.674,6.0313e-05,0.00517895
MIER3,YWHAZ,0.674,6.0313e-05,0.00517895
CREB1,GNAI3,0.674,6.0313e-05,0.00517895
ARFIP1,SRSF3,0.674,6.0313e-05,0.00517895
DCTN4,TSN,0.674,6.0313e-05,0.00517895
PIK3C2A,TSN,0.674,6.0313e-05,0.00517895
KRT14,PAMR1,0.674,6.0313e-05,0.00517895
CCDC3,ENPP2,0.674,6.0313e-05,0.00517895
LOC100506558,SFRP1,0.674,6.0313e-05,0.00517895
CREB1,GPIHBP1,-0.674,6.13516e-05,0.00523525
DDX42,RAD21,0.674,6.13516e-05,0.00523525
KIT,RGMA,0.674,6.13516e-05,0.00523525
M6PR,MATR3,0.674,6.13516e-05,0.00523525
FAM13A-AS1,GPM6B,0.674,6.13516e-05,0.00523525
CTNNA1,DNAJB1,0.674,6.13516e-05,0.00523525
ABI1,PIK3C2A,0.674,6.13516e-05,0.00523525
ASCC1,DCTN4,0.674,6.13516e-05,0.00523525
CCT2,GNAI3,0.674,6.13516e-05,0.00523525
LYPLA1,SCOC,0.674,6.13516e-05,0.00523525
FAR1,SRSF3,0.674,6.13516e-05,0.00523525
LAPTM4B,OCIAD1,0.674,6.13516e-05,0.00523525
CREB1,RAD1,0.674,6.13516e-05,0.00523525
DCTD,PRPF31,0.674,6.13516e-05,0.00523525
AOC3,G0S2,0.674,6.13516e-05,0.00523525
AKR1C3,PLAC9,0.674,6.13516e-05,0.00523525
RAPGEF3,RIOK3,-0.673,6.2406e-05,0.0052922
FCRL2,RHOB,-0.673,6.2406e-05,0.0052922
ADAMTS9-AS2,ANKRD29,0.673,6.2406e-05,0.0052922
CLDN8,CPA3,0.673,6.2406e-05,0.0052922
FMO2,SFRP1,0.673,6.2406e-05,0.0052922
PPP2R5C,PTP4A1,0.673,6.2406e-05,0.0052922
FOXC1,SCN4B,0.673,6.2406e-05,0.0052922
MIR143HG,PID1,0.673,6.2406e-05,0.0052922
DNAJB1,OAZ2,0.673,6.2406e-05,0.0052922
DDA1,SELT,0.673,6.2406e-05,0.0052922
DNAJC3,SCARB2,0.673,6.2406e-05,0.0052922
COMMD10,PSMD10,0.673,6.2406e-05,0.0052922
MIER3,UBE2N,0.673,6.2406e-05,0.0052922
CNTNAP3,DLK1,0.673,6.2406e-05,0.0052922
COMP,SERPINH1,0.673,6.2406e-05,0.0052922
CTGF,VCAN,0.673,6.2406e-05,0.0052922
CILP,LOXL1,0.673,6.34766e-05,0.00535187
ADAMTS9-AS2,RSPO3,0.673,6.34766e-05,0.00535187
COMMD10,SELT,0.673,6.34766e-05,0.00535187
CCL14,SAMD5,0.673,6.34766e-05,0.00535187
ARFIP1,DNAJB1,0.673,6.34766e-05,0.00535187
CFL1,SH3BGRL,0.673,6.34766e-05,0.00535187
FAP,OSTC,0.673,6.34766e-05,0.00535187
NREP,SPOCK1,0.673,6.34766e-05,0.00535187
BRCC3,COMMD10,0.673,6.34766e-05,0.00535187
ARF4,YIPF5,0.673,6.34766e-05,0.00535187
PSMD10,UEVLD,0.673,6.34766e-05,0.00535187
ENTPD1,HLA-DRA,0.673,6.34766e-05,0.00535187
CCDC3,LIMS2,0.673,6.34766e-05,0.00535187
PALMD,SIK2,0.673,6.34766e-05,0.00535187
ASPN,FKBP14,0.673,6.34766e-05,0.00535187
DEFB1,MIA,0.672,6.43796e-05,0.00541016
ADAMTS9-AS2,DEGS2,-0.672,6.45635e-05,0.00541016
DDX42,TMEM230,0.672,6.45635e-05,0.00541016
EBF1,NES,0.672,6.45635e-05,0.00541016
ESRP1,GDE1,0.672,6.45635e-05,0.00541016
HSPD1,SAE1,0.672,6.45635e-05,0.00541016
BBOX1,CRYAB,0.672,6.45635e-05,0.00541016
ANKH,COL12A1,0.672,6.45635e-05,0.00541016
C1S,LOXL1,0.672,6.45635e-05,0.00541016
RAB1A,YWHAE,0.672,6.45635e-05,0.00541016
MIER3,RHOA,0.672,6.45635e-05,0.00541016
CERS2,USP21,0.672,6.45635e-05,0.00541016
KLHL29,LMOD1,0.672,6.45635e-05,0.00541016
LOC100506558,PPP1R14A,0.672,6.45635e-05,0.00541016
CD46,LOC100190986,0.672,6.45635e-05,0.00541016
FKBP14,SERPINH1,0.672,6.45635e-05,0.00541016
BIN1,FOXA1,-0.672,6.5667e-05,0.00545457
CCT2,LEP,-0.672,6.5667e-05,0.00545457
AOC3,ENPP2,0.672,6.5667e-05,0.00545457
CLDN5,SAA1,0.672,6.5667e-05,0.00545457
KGFLP2,SAMD5,0.672,6.5667e-05,0.00545457
PROM1,SYNM,0.672,6.5667e-05,0.00545457
AOC3,ROBO4,0.672,6.5667e-05,0.00545457
LEP,PLIN4,0.672,6.5667e-05,0.00545457
CNN1,KLHL29,0.672,6.5667e-05,0.00545457
M6PR,TTPAL,0.672,6.5667e-05,0.00545457
TAB2,TMX1,0.672,6.5667e-05,0.00545457
LSM4,RHOA,0.672,6.5667e-05,0.00545457
DSG2,RAD1,0.672,6.5667e-05,0.00545457
FNIP1,MIER3,0.672,6.5667e-05,0.00545457
GMFB,TMX1,0.672,6.5667e-05,0.00545457
NIPBL,TAB2,0.672,6.5667e-05,0.00545457
COL5A2,WNT5A,0.672,6.5667e-05,0.00545457
OPHN1,SH3GL3,0.672,6.5667e-05,0.00545457
CAPRIN1,UBE4B,0.672,6.5667e-05,0.00545457
PIK3C2A,TPD52,0.672,6.5667e-05,0.00545457
FZD4,RASIP1,0.672,6.5667e-05,0.00545457
DSG2,MATR3,0.672,6.5667e-05,0.00545457
C12orf75,COL6A1,0.672,6.5667e-05,0.00545457
PLIN4,PRPF31,-0.671,6.67872e-05,0.00551829
GATA3,GNAL,-0.671,6.67872e-05,0.00551829
CD9,CSNK1A1,0.671,6.67872e-05,0.00551829
CKAP5,CTB-50L17.7,0.671,6.67872e-05,0.00551829
C2orf40,KLHL29,0.671,6.67872e-05,0.00551829
ALYREF,DCTN4,0.671,6.67872e-05,0.00551829
DNAJB1,SETD5,0.671,6.67872e-05,0.00551829
CLIC4,UBE2N,0.671,6.67872e-05,0.00551829
NAPA,UEVLD,0.671,6.67872e-05,0.00551829
ARFIP1,TPD52,0.671,6.67872e-05,0.00551829
HNRNPF,TSN,0.671,6.67872e-05,0.00551829
PSMD10,RAD1,0.671,6.67872e-05,0.00551829
CILP,PLAC9,0.671,6.67872e-05,0.00551829
ASPN,GJB2,0.671,6.67872e-05,0.00551829
ADH1C,FXYD1,0.671,6.79244e-05,0.00559114
FAR1,YWHAZ,0.671,6.79244e-05,0.00559114
ADAMTS9-AS2,F2RL2,0.671,6.79244e-05,0.00559114
PTPLAD1,SERINC3,0.671,6.79244e-05,0.00559114
IGF1R,MAPK13,0.671,6.79244e-05,0.00559114
ARPC5,STIP1,0.671,6.79244e-05,0.00559114
RHOB,YIPF5,0.671,6.79244e-05,0.00559114
IRX1,PADI2,0.671,6.79244e-05,0.00559114
ENPP2,SOD3,0.671,6.79244e-05,0.00559114
BGN,FKBP14,0.671,6.79244e-05,0.00559114
FBP1,VCAN,-0.67,6.90789e-05,0.00565426
ADAMTS9-AS2,FMO2,0.67,6.90789e-05,0.00565426
CILP,RUNX2,0.67,6.90789e-05,0.00565426
KANK3,SIK2,0.67,6.90789e-05,0.00565426
CAPN3,ENPP2,0.67,6.90789e-05,0.00565426
ABI1,TPD52,0.67,6.90789e-05,0.00565426
CREB1,NREP,0.67,6.90789e-05,0.00565426
CTNNA1,CYB5R3,0.67,6.90789e-05,0.00565426
CFL1,CYB5R3,0.67,6.90789e-05,0.00565426
LAMP1,SLC30A5,0.67,6.90789e-05,0.00565426
FIGF,PIGR,0.67,6.90789e-05,0.00565426
CENPU,UBE2T,0.67,6.90789e-05,0.00565426
FXYD1,SEMA3G,0.67,6.90789e-05,0.00565426
AGPAT9,MID1,0.67,6.90789e-05,0.00565426
BGN,NID2,0.67,6.90789e-05,0.00565426
RIOK3,ROBO4,-0.67,7.02508e-05,0.00571597
CA3,UBE2T,-0.67,7.02508e-05,0.00571597
FAM214A,PLAUR,-0.67,7.02508e-05,0.00571597
C1S,GHR,0.67,7.02508e-05,0.00571597
EBF1,GNAI1,0.67,7.02508e-05,0.00571597
ALYREF,TTPAL,0.67,7.02508e-05,0.00571597
ARHGEF4,MT1M,0.67,7.02508e-05,0.00571597
LMOD1,SYNM,0.67,7.02508e-05,0.00571597
RIT1,WAPAL,0.67,7.02508e-05,0.00571597
LRRN4CL,PLAC9,0.67,7.02508e-05,0.00571597
SERINC3,TMEM245,0.67,7.02508e-05,0.00571597
CD9,UEVLD,0.67,7.02508e-05,0.00571597
MAPRE1,UBE2N,0.67,7.02508e-05,0.00571597
C1QTNF3,COL5A2,0.67,7.02508e-05,0.00571597
C1QTNF3,RUNX1-IT1,0.67,7.02508e-05,0.00571597
COL5A2,FN1,0.67,7.02508e-05,0.00571597
ALDH1A2,SEMA3G,0.67,7.06444e-05,0.00574586
CCL14,GDE1,-0.669,7.14403e-05,0.00577624
BAG2,MFGE8,0.669,7.14403e-05,0.00577624
FMO2,FXYD1,0.669,7.14403e-05,0.00577624
DMD,SCN4B,0.669,7.14403e-05,0.00577624
PIGR,PPP1R14A,0.669,7.14403e-05,0.00577624
ASCC1,GNB1,0.669,7.14403e-05,0.00577624
EZR,UEVLD,0.669,7.14403e-05,0.00577624
BRCC3,NAPA,0.669,7.14403e-05,0.00577624
GNAI3,THY1,0.669,7.14403e-05,0.00577624
ABI1,DICER1,0.669,7.14403e-05,0.00577624
CREB1,RAB1A,0.669,7.14403e-05,0.00577624
PIK3C2A,YWHAE,0.669,7.14403e-05,0.00577624
TGFB1,UBE2S,0.669,7.14403e-05,0.00577624
MICAL2,OLFML2B,0.669,7.14403e-05,0.00577624
COL6A1,GJB2,0.669,7.14403e-05,0.00577624
