ID	Gene.symbol	Gene.title	log2(fold change)	-log10(Pvalue)
209113_s_at	HMG20B	high mobility group 20B	3.011	10.322
209116_x_at	HBB	hemoglobin subunit beta	-3.361	5.481
209142_s_at	UBE2G1	ubiquitin conjugating enzyme E2 G1	3.024	11.952
209160_at	AKR1C3	aldo-keto reductase family 1, member C3	-3.196	6.627
209162_s_at	PRPF4	pre-mRNA processing factor 4	4.374	14.198
209173_at	AGR2	anterior gradient 2, protein disulphide isomerase family member	3.249	7.866
209189_at	FOS	Fos proto-oncogene, AP-1 transcription factor subunit	4.921	6.726
209201_x_at	CXCR4	C-X-C motif chemokine receptor 4	4.569	12.033
209218_at	SQLE	squalene epoxidase	3.436	13.091
209257_s_at	SMC3	structural maintenance of chromosomes 3	3.547	9.851
209270_at	LAMB3	laminin subunit beta 3	-3.423	10.792
209283_at	CRYAB	crystallin alpha B	-4.343	12.256
209305_s_at	GADD45B	growth arrest and DNA damage inducible beta	4.387	13.25
209339_at	SIAH2	siah E3 ubiquitin protein ligase 2	4.187	13.917
209344_at	TPM4	tropomyosin 4	3.367	11.082
