MeSH Symptom Term	MeSH Disease Term	PubMed occurrence	TFIDF score
Asthenia	Hypesthesia	1	2.0632192510535368
Asthenia	Paresthesia	2	4.1264385021070735
Asthenia	Vision Disorders	1	2.0632192510535368
Asthenia	Blindness	1	2.0632192510535368
Asthenia	Diplopia	1	2.0632192510535368
Asthenia	Neuromuscular Diseases	3	6.18965775316061
Asthenia	Peripheral Nervous System Diseases	4	8.252877004214147
Asthenia	Brachial Plexus Neuritis	2	4.1264385021070735
Asthenia	Diabetic Neuropathies	2	4.1264385021070735
Asthenia	Carpal Tunnel Syndrome	2	4.1264385021070735
Asthenia	Polyneuropathies	1	2.0632192510535368
Asthenia	Arsenic Poisoning	1	2.0632192510535368
Asthenia	Sleep Disorders	4	8.252877004214147
Asthenia	Disorders of Excessive Somnolence	1	2.0632192510535368
Asthenia	Restless Legs Syndrome	1	2.0632192510535368
Asthenia	Sleep Initiation and Maintenance Disorders	3	6.18965775316061
Asthenia	Craniocerebral Trauma	5	10.316096255267684
Asthenia	Head Injuries, Closed	2	4.1264385021070735
Asthenia	Conjunctivitis, Allergic	1	2.0632192510535368
Asthenia	Keratitis	1	2.0632192510535368
Asthenia	Blepharoptosis	1	2.0632192510535368
Asthenia	Dry Eye Syndromes	1	2.0632192510535368
Asthenia	Cataract	1	2.0632192510535368
Asthenia	Graves Disease	2	4.1264385021070735
Asthenia	Oligospermia	1	2.0632192510535368
Asthenia	Prostatic Hyperplasia	1	2.0632192510535368
Asthenia	Prostatitis	1	2.0632192510535368
Asthenia	Adrenal Hyperplasia, Congenital	1	2.0632192510535368
Asthenia	Diabetes Insipidus	1	2.0632192510535368
Asthenia	Diabetes Insipidus, Neurogenic	1	2.0632192510535368
Asthenia	Fanconi Syndrome	1	2.0632192510535368
Asthenia	Glomerulonephritis	1	2.0632192510535368
Asthenia	Nephritis, Interstitial	1	2.0632192510535368
Asthenia	Acute Kidney Injury	2	4.1264385021070735
Asthenia	Kidney Failure, Chronic	1	2.0632192510535368
Asthenia	Bartter Syndrome	1	2.0632192510535368
Asthenia	Gitelman Syndrome	1	2.0632192510535368
Asthenia	Hypophosphatemia, Familial	1	2.0632192510535368
Asthenia	Uremia	2	4.1264385021070735
Asthenia	Proteinuria	1	2.0632192510535368
Asthenia	Uterine Hemorrhage	1	2.0632192510535368
Asthenia	Pregnancy Complications	4	8.252877004214147
Asthenia	Fetal Diseases	1	2.0632192510535368
Asthenia	Postpartum Hemorrhage	1	2.0632192510535368
Asthenia	Placenta Diseases	1	2.0632192510535368
Asthenia	Pregnancy Complications, Cardiovascular	1	2.0632192510535368
